date,depth_m,chla_mg_l,cond_us_cm,do_mg_l,do_sat,orp_ug_l,ph,temp_deg_c,turb_ntu
1992-06-23,1,NA,135.3,9.28,99,343,7.84,18.52,NA
1992-06-23,2,NA,135.3,9.32,99.3,342,7.88,18.46,NA
1992-06-23,3,NA,135.2,9.34,99.5,342,7.89,18.42,NA
1992-06-23,4,NA,135.5,9.34,99.3,342,7.9,18.32,NA
1992-06-23,5,NA,135,9.34,99.2,343,7.91,18.25,NA
1992-06-23,6,NA,135.2,9.35,99,343,7.91,18.15,NA
1992-06-23,7,NA,135,9.34,98.8,344,7.91,18.06,NA
1992-06-23,8,NA,135.2,9.33,98.5,345,7.9,18,NA
1992-06-23,9,NA,135.4,9.29,97.9,345,7.89,17.93,NA
1992-06-23,10,NA,135,9.24,97.4,346,7.87,17.89,NA
1992-06-23,11,NA,134.5,9.13,95.7,349,7.81,17.61,NA
1992-06-23,12,NA,132.9,8.74,89.1,356,7.68,16.27,NA
1992-06-23,13,NA,129,9.12,86.1,363,7.55,12.76,NA
1992-06-23,14,NA,128.9,8.92,83.2,367,7.46,12.2,NA
1992-06-23,15,NA,128.3,9.13,84.5,368,7.43,11.87,NA
1992-06-23,16,NA,127.9,9.1,83.5,370,7.37,11.53,NA
1992-06-23,17,NA,128.9,9.03,82.4,371,7.36,11.28,NA
1992-06-23,18,NA,129.2,9.11,82.6,371,7.34,11,NA
1992-06-23,19,NA,128.2,8.9,80.1,373,7.32,10.69,NA
1992-06-23,20,NA,128.3,8.85,79.3,374,7.3,10.49,NA
1992-06-23,21,NA,127.7,8.74,77.9,375,7.28,10.26,NA
1992-06-23,22,NA,128.8,8.68,77.2,375,7.27,10.18,NA
1992-06-23,23,NA,127.9,8.54,75.5,376,7.25,9.91,NA
1992-06-23,24,NA,128.1,8.26,72.8,378,7.22,9.78,NA
1992-06-23,25,NA,127.8,7.77,67.8,380,7.17,9.4,NA
1992-06-23,26,NA,128.35,7.13,61.95,381.5,7.125,9.165,NA
1992-06-23,27,NA,128.2,6.97,60.6,384,7.04,9.15,NA
1992-06-23,28,NA,128.6,6.9,59.9,385,7.04,9.12,NA
1992-06-23,29,NA,128.6,6.5,56.3,386,7.01,9.06,NA
1992-07-09,1,NA,114.3,9.16,99.9,340,8.07,19.61,NA
1992-07-09,2,NA,114.3,9.17,100,340,8.07,19.6,NA
1992-07-09,3,NA,114.3,9.18,100.1,341,8.07,19.55,NA
1992-07-09,4,NA,114.3,9.19,100.1,341,8.06,19.5,NA
1992-07-09,5,NA,114.3,9.18,99.9,342,8.05,19.47,NA
1992-07-09,6,NA,114.3,9.18,99.8,343,8.04,19.43,NA
1992-07-09,7,NA,114.2,9.16,99.5,343,8.03,19.42,NA
1992-07-09,8,NA,114.2,9.15,99.4,344,8.02,19.36,NA
1992-07-09,9,NA,114.1,9.14,99.1,345,8.01,19.31,NA
1992-07-09,10,NA,114.1,9.11,98.7,346,7.98,19.21,NA
1992-07-09,11,NA,113.5,8.83,93.9,352,7.8,18.35,NA
1992-07-09,12,NA,113.4,8.65,91.1,356,7.66,17.88,NA
1992-07-09,13,NA,113.3,8.57,90,357,7.63,17.73,NA
1992-07-09,14,NA,112.9,8.41,87.3,361,7.54,17.15,NA
1992-07-09,15,NA,112.7,8.37,86.4,362,7.5,16.88,NA
1992-07-09,16,NA,110.9,7.91,78.5,366,7.42,15.07,NA
1992-07-09,17,NA,109,7.73,72.2,372,7.3,12.28,NA
1992-07-09,18,NA,108.1,7.48,67.6,375,7.24,10.86,NA
1992-07-09,19,NA,108,7.38,66.4,377,7.19,10.6,NA
1992-07-09,20,NA,108.5,7.56,67.7,377,7.16,10.47,NA
1992-07-09,21,NA,107,7.44,66.3,378,7.13,10.25,NA
1992-07-09,22,NA,107.6,7.16,63.5,380,7.09,10.07,NA
1992-07-09,23,NA,107.1,7.22,64,380,7.08,10.01,NA
1992-07-09,24,NA,108.7,6.34,55.6,382,7.04,9.52,NA
1992-07-09,25,NA,108.2,5.87,51.2,383,7,9.3,NA
1992-07-09,26,NA,109.3,5.38,46.8,384,6.97,9.2,NA
1992-07-09,27,NA,109.4,5.225,45.45,384,6.9350000000000005,9.19,NA
1992-07-22,1,NA,117.1,8.82,99.2,353,8.29,21.15,NA
1992-07-22,2,NA,117,8.84,98.9,353,8.32,20.86,NA
1992-07-22,3,NA,116.7,8.83,98.6,354,8.3,20.75,NA
1992-07-22,4,NA,116.9,8.8,98.1,354,8.28,20.69,NA
1992-07-22,5,NA,116.5,8.8,98,355,8.26,20.65,NA
1992-07-22,6,NA,116.7,8.77,97.6,355,8.25,20.63,NA
1992-07-22,7,NA,116.6,8.76,97.4,356,8.23,20.59,NA
1992-07-22,8,NA,116.5,8.75,97.3,357,8.21,20.58,NA
1992-07-22,9,NA,116.4,8.74,97.1,357,8.2,20.54,NA
1992-07-22,10,NA,116.5,8.71,96.8,358,8.17,20.51,NA
1992-07-22,11,NA,116.6,8.68,96.4,358,8.15,20.49,NA
1992-07-22,12,NA,114.8,8.06,87.3,369,7.8,19.26,NA
1992-07-22,13,NA,113.6,7.64,81.3,375,7.6,18.32,NA
1992-07-22,14,NA,112.7,7.34,75.9,379,7.45,16.98,NA
1992-07-22,15,NA,111.2,6.85,68,384,7.3,15.12,NA
1992-07-22,16,NA,109.7,6.71,63.8,389,7.17,13.08,NA
1992-07-22,17,NA,108.3,6.77,63.2,390,7.15,12.26,NA
1992-07-22,18,NA,108.5,6.51,59.4,392,7.11,11.21,NA
1992-07-22,19,NA,108.3,6.56,59.2,393,7.06,10.76,NA
1992-07-22,20,NA,107.9,6.61,59.3,394,7.05,10.54,NA
1992-07-22,21,NA,107.8,6.66,59.5,394,7.05,10.36,NA
1992-07-22,22,NA,107.8,6.3,56.1,395,7.02,10.17,NA
1992-07-22,23,NA,107.9,6.14,54.5,395,7,10.06,NA
1992-07-22,24,NA,108.3,5.16,45.5,397,6.95,9.8,NA
1992-07-22,25,NA,108.4,4.96,43.7,398,6.92,9.75,NA
1992-07-22,26,NA,108.5,4.83,42.5,398,6.9,9.68,NA
1992-07-22,27,NA,108.5,4.67,41,399,6.89,9.62,NA
1992-07-22,28,NA,108.7,4.45,39,399,6.88,9.54,NA
1992-07-22,29,NA,108.7,4.39,38.5,399,6.87,9.52,NA
1992-07-22,30,NA,108.6,4.33,37.9,400,6.86,9.48,NA
1992-07-22,31,NA,108.80000000000001,4.13,36.099999999999994,397,6.85,9.42,NA
1992-08-10,1,NA,117.6,8.65,99,324,8.4,22.06,NA
1992-08-10,2,NA,117,8.76,98.4,324,8.43,21.07,NA
1992-08-10,3,NA,117,8.77,98.4,324,8.43,21.05,NA
1992-08-10,4,NA,117.1,8.72,97.7,326,8.4,20.94,NA
1992-08-10,5,NA,117,8.65,96.8,327,8.36,20.91,NA
1992-08-10,6,NA,117.1,8.68,97.1,327,8.38,20.91,NA
1992-08-10,7,NA,117,8.72,97.5,326,8.4,20.87,NA
1992-08-10,8,NA,117.1,8.57,95.8,329,8.31,20.81,NA
1992-08-10,9,NA,116.8,8.47,94.6,331,8.21,20.77,NA
1992-08-10,10,NA,117.1,8.36,93.2,333,8.16,20.67,NA
1992-08-10,11,NA,117.1,8.31,92.4,335,8.12,20.56,NA
1992-08-10,12,NA,116.4,8.05,88.7,340,7.9,20.15,NA
1992-08-10,13,NA,116.5,7.9,86.7,343,7.8,19.88,NA
1992-08-10,14,NA,116.4,7.81,85.6,345,7.73,19.84,NA
1992-08-10,15,NA,113.1,5.55,57.7,359,7.29,17.23,NA
1992-08-10,16,NA,109.9,4.74,45.1,367,7.1,13.04,NA
1992-08-10,17,NA,109.1,4.93,45.8,370,6.97,12.12,NA
1992-08-10,18,NA,108.6,4.96,45.5,371,6.94,11.51,NA
1992-08-10,19,NA,108.4,4.7,42.5,372,6.91,10.83,NA
1992-08-10,20,NA,108.3,4.67,42,373,6.89,10.63,NA
1992-08-10,21,NA,108.1,4.86,43.5,373,6.88,10.47,NA
1992-08-10,22,NA,108.2,4.44,39.6,375,6.85,10.33,NA
1992-08-10,23,NA,108.2,4.16,36.9,375,6.83,10.11,NA
1992-08-10,24,NA,108.3,3.93,34.8,376,6.8,10.01,NA
1992-08-10,25,NA,108.4,3.34,29.5,377,6.77,9.83,NA
1992-08-10,26,NA,108.3,2.94,25.8,378,6.74,9.6,NA
1992-08-10,27,NA,108.8,2,17.5,379,6.69,9.4,NA
1992-08-10,28,NA,108.9,1.77,15.4,379,6.67,9.36,NA
1992-08-10,29,NA,109.6,1.58,13.8,378.5,6.66,9.35,NA
1992-08-18,1,NA,117.7,8.92,99.9,335,8.32,20.91,NA
1992-08-18,2,NA,117.7,8.9,99.5,336,8.3,20.87,NA
1992-08-18,3,NA,117.7,8.86,99.1,337,8.29,20.88,NA
1992-08-18,4,NA,117.7,8.81,98.6,339,8.24,20.86,NA
1992-08-18,5,NA,117.7,8.8,98.4,339,8.23,20.82,NA
1992-08-18,6,NA,117.7,8.79,98.2,340,8.21,20.79,NA
1992-08-18,7,NA,117.8,8.76,97.8,341,8.18,20.73,NA
1992-08-18,8,NA,117.7,8.76,97.7,342,8.17,20.71,NA
1992-08-18,9,NA,117.7,8.72,97.1,343,8.13,20.65,NA
1992-08-18,10,NA,117.8,8.65,96.3,344,8.07,20.61,NA
1992-08-18,11,NA,117.6,8.63,96,345,8.06,20.6,NA
1992-08-18,12,NA,117.6,8.6,95.7,345,8.04,20.59,NA
1992-08-18,13,NA,117.5,8.51,94.5,347,7.97,20.53,NA
1992-08-18,14,NA,117.1,7.9,86.8,354,7.71,19.95,NA
1992-08-18,15,NA,113.2,5.45,56,368,7.3,16.72,NA
1992-08-18,16,NA,110.3,4.72,45.9,375,7.04,14.15,NA
1992-08-18,17,NA,109.7,4.76,45.1,376,6.99,12.96,NA
1992-08-18,18,NA,107.9,4.8,44.2,378,6.94,11.68,NA
1992-08-18,19,NA,108.2,4.63,42,378,6.9,11.03,NA
1992-08-18,20,NA,107.7,4.53,40.7,379,6.87,10.6,NA
1992-08-18,21,NA,108.2,4.15,37,380,6.84,10.34,NA
1992-08-18,22,NA,107.9,4.06,36.1,380,6.77,10.15,NA
1992-08-18,23,NA,107.9,3.98,35.2,381,6.76,9.92,NA
1992-08-18,24,NA,107.7,3.01,26.5,381,6.71,9.78,NA
1992-08-18,25,NA,108,2.47,21.7,381,6.69,9.63,NA
1992-08-18,26,NA,108.2,1.82,16,382,6.66,9.5,NA
1992-08-18,27,NA,108.3,1.62,14.2,381,6.65,9.43,NA
1992-08-18,28,NA,108.5,1.38,12.1,381,6.64,9.42,NA
1992-08-18,29,NA,108.8,1.2,10.5,381,6.63,9.37,NA
1992-08-18,30,NA,109,1.18,10.3,381,6.63,9.38,NA
1992-09-16,1,NA,129.2,9.165,99.85,342,7.95,19.54,NA
1992-09-16,2,NA,129.2,9.17,99.9,342,7.95,19.515,NA
1992-09-16,3,NA,129.2,9.17,99.7,343,7.95,19.45,NA
1992-09-16,4,NA,129.2,9.17,99.7,343,7.95,19.44,NA
1992-09-16,5,NA,129.2,9.16,99.6,343,7.95,19.43,NA
1992-09-16,6,NA,129.2,9.14,99.3,344,7.94,19.4,NA
1992-09-16,7,NA,129.2,9.1,98.8,344,7.93,19.35,NA
1992-09-16,8,NA,129.2,9.08,98.5,345,7.91,19.32,NA
1992-09-16,9,NA,129.1,9.04,98,346,7.88,19.3,NA
1992-09-16,10,NA,129.1,9.01,97.6,347,7.87,19.26,NA
1992-09-16,11,NA,129.1,8.96,97.1,347,7.85,19.24,NA
1992-09-16,12,NA,129.1,8.93,96.6,348,7.83,19.21,NA
1992-09-16,13,NA,129.1,8.88,96,349,7.81,19.16,NA
1992-09-16,14,NA,129,8.83,95.5,350,7.78,19.12,NA
1992-09-16,15,NA,129,8.81,95.2,350,7.77,19.09,NA
1992-09-16,16,NA,128.8,8.32,89.3,354,7.62,18.79,NA
1992-09-16,17,NA,126,6.45,67,363,7.27,17.17,NA
1992-09-16,18,NA,124.9,5.5,56.5,367,7.14,16.61,NA
1992-09-16,19,NA,120.9,2.81,27.2,372,6.93,13.9,NA
1992-09-16,20,NA,118.3,2.29,21.3,374,6.79,12.1,NA
1992-09-16,21,NA,117.8,1.79,16.4,375,6.75,11.38,NA
1992-09-16,22,NA,117.9,1.56,14.1,375,6.74,10.79,NA
1992-09-16,23,NA,116.7,1.2,10.7,376,6.71,10.36,NA
1992-09-16,24,NA,117.7,NA,NA,376,6.69,10.23,NA
1992-09-16,25,NA,118.9,NA,NA,376,6.68,10.06,NA
1992-09-16,26,NA,117.5,NA,NA,376,6.67,9.92,NA
1992-09-16,27,NA,118.4,NA,NA,375,6.67,9.84,NA
1992-09-16,28,NA,120.8,NA,NA,375,6.67,9.72,NA
1992-09-16,29,NA,121.4,NA,NA,374,6.69,9.65,NA
1992-09-16,30,NA,121.9,NA,NA,369,6.7,9.62,NA
1992-10-01,1,NA,128.8,9.44,95.4,353,7.58,15.86,NA
1992-10-01,2,NA,128.8,9.44,95.3,354,7.58,15.88,NA
1992-10-01,3,NA,128.8,9.43,95.3,355,7.58,15.88,NA
1992-10-01,4,NA,128.8,9.42,95.1,356,7.58,15.88,NA
1992-10-01,5,NA,128.8,9.42,95.2,356,7.58,15.88,NA
1992-10-01,6,NA,128.8,9.4,95,357,7.58,15.9,NA
